,city_name,country,lat,humidity,temp,cloudiness,wind_speed
312,Fleetwood,GB,53.93,93,8.64,75,6.2
313,Claremorris,IE,53.72,81,5.3,34,3.13
314,Timrå,SE,62.49,100,3.48,100,1.5
315,Pliska,BG,43.37,87,6.76,1,2.6
316,Fes,MA,34.04,93,16.06,75,4.1
317,Siguiri,GN,11.67,45,28.17,95,0.89
318,Adré,TD,13.47,16,21.5,100,3.93
319,Narón,ES,43.52,87,10.81,51,3.6
320,Uíge,AO,-7.61,90,23.54,100,0.67
321,Diffa,NE,13.32,12,26.31,41,3.0
322,Llandrindod Wells,GB,52.24,98,10.22,100,1.34
323,Djebeniana,TN,35.03,52,19.44,0,2.6
324,Peniche,PT,39.36,88,13.41,67,5.36
325,Brilon,DE,51.4,59,12.56,0,8.2
326,Aranda de Duero,ES,41.67,70,8.83,0,3.1
327,Benguela,AO,-12.58,72,26.55,2,1.48
328,Kasongo-Lunda,CD,-6.47,92,25.67,100,0.57
329,Finnsnes,NO,69.23,68,-9.12,75,7.7
330,Dingli,MT,35.86,68,16.94,12,3.1
331,Mariehamn,AX,60.1,93,7.59,90,3.1
332,Sirte,LY,31.21,61,19.36,0,4.53
333,Marzuq,YE,14.4,26,19.75,14,1.82
334,Libreville,GA,0.39,89,28.38,99,2.73
335,Celano,IT,42.09,75,7.62,0,0.45
336,Torrijos,ES,39.98,77,17.16,30,1.79
337,Castelnau-le-Lez,FR,43.63,77,11.32,90,11.3
338,Lohja,FI,60.25,100,4.61,100,3.13
339,Zemio,CF,5.03,91,25.88,100,0.43
340,Esim,GH,4.87,89,28.65,100,4.07
341,Menongue,AO,-14.66,25,20.02,40,1.0
342,Vágur,FO,61.47,70,-0.79,50,8.61
343,Durusu,TR,41.31,77,14.96,75,7.7
344,Hvolsvollur,IS,63.75,88,-1.27,71,2.24
345,Bolobo,CD,-2.17,88,26.24,88,0.66
346,Bedford,GB,52.13,94,13.13,100,1.34
347,Chelmsford,GB,51.74,95,11.03,93,5.01
348,Springbok,ZA,-29.66,18,14.72,0,4.46
349,Homburg,DE,49.32,63,12.69,5,6.2
350,Micheldorf,AT,46.92,62,8.21,62,1.5
351,Manyana,BW,-23.4,16,21.56,8,5.43
352,Skibbereen,IE,51.55,87,2.04,20,7.2
353,Gabú,GW,12.28,59,29.3,100,1.21
354,Giulianova,IT,42.76,52,8.77,0,1.79
355,Waren,DE,53.52,78,8.2,93,7.22
356,Larsnes,NO,62.2,100,1.14,75,2.1
357,Ngaoundéré,CM,7.32,75,20.32,16,0.65
358,Campo,PT,41.19,100,12.6,20,3.6
359,Bassar,TG,9.25,71,26.07,21,0.6
360,Kuopio,FI,62.89,96,-4.91,90,5.7
361,Mokhotlong,LS,-29.29,67,9.21,51,1.72
362,Kupiškis,LT,55.83,91,5.23,100,4.55
